ProductName,EngineVersion,AppVersion,IsBeta,IsSxsPassiveMode,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsBuild,OsSuite,OsPlatformSubRelease,IsProtected,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_PrimaryDiskTypeName,Census_HasOpticalDiskDrive,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_PowerPlatformRoleName,Census_InternalBatteryNumberOfCharges,Census_OSBuildRevision,Census_OSEdition,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightsDisabled,Census_FlightRing,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections,Census_TotalPhysicalRAMGB,Census_SystemVolumeTotalCapacityGB,Census_PrimaryDiskTotalCapacityGB
win8defender,1.1.15100.1,4.18.1807.18075,0,0,1.0,1.0,1,29,128035.0,18.0,171,windows10,x64,17134,256,rs4,1.0,0.0,137.0,unknown,1.0,1.0,desktop,windows.desktop,2668.0,9124.0,4.0,5.0,hdd,0,desktop,18.9,1440.0,desktop,4294967295.0,165,professional,upgrade,26.0,unknown,0,is_genuine,retail,0.0,retail,628.0,36144.0,0,0.0,0,0,0.0,0.0,10.0,0,4.0,292.0,466.0
win8defender,1.1.14600.4,4.13.17134.1,0,0,1.0,1.0,1,93,1482.0,18.0,64,windows10,x64,17134,256,rs4,1.0,0.0,137.0,unknown,1.0,1.0,notebook,windows.desktop,2668.0,91656.0,4.0,5.0,hdd,0,notebook,13.9,1366.0,mobile,1.0,1,professional,ibsclean,8.0,unknown,0,offline,retail,0.0,not_set,628.0,57858.0,0,0.0,0,0,0.0,0.0,8.0,0,4.0,100.0,466.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,1.0,1.0,1,86,153579.0,18.0,49,windows10,x64,17134,768,rs4,1.0,0.0,137.0,requireadmin,1.0,1.0,desktop,windows.desktop,4909.0,317701.0,4.0,5.0,ssd,0,desktop,21.5,1920.0,desktop,4294967295.0,165,core,upgrade,7.0,fullauto,0,is_genuine,oem:nonslp,0.0,retail,142.0,52682.0,0,0.0,0,0,0.0,0.0,3.0,0,4.0,111.0,112.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,1.0,1.0,1,88,20710.0,,115,windows10,x64,17134,256,rs4,1.0,0.0,137.0,existsnotset,1.0,1.0,desktop,windows.desktop,1443.0,275890.0,4.0,5.0,unknown,0,minitower,18.5,1366.0,desktop,4294967295.0,228,professional,upgrade,17.0,fullauto,0,is_genuine,oem:nonslp,0.0,retail,355.0,20050.0,0,0.0,0,0,0.0,0.0,3.0,1,4.0,222.0,233.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,1.0,1.0,1,18,37376.0,,75,windows10,x64,17134,768,rs4,1.0,0.0,137.0,requireadmin,1.0,1.0,notebook,windows.desktop,1443.0,331929.0,4.0,5.0,hdd,0,notebook,14.0,1366.0,mobile,0.0,191,core,update,8.0,fullauto,0,is_genuine,retail,0.0,retail,355.0,19844.0,0,0.0,0,0,0.0,0.0,1.0,1,6.0,100.0,466.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,1.0,1.0,1,97,13598.0,27.0,124,windows10,x64,17134,256,rs4,1.0,0.0,137.0,requireadmin,1.0,1.0,desktop,windows.desktop,3799.0,340727.0,2.0,5.0,ssd,0,desktop,21.5,1920.0,desktop,4294967295.0,165,professional,upgrade,18.0,fullauto,0,is_genuine,retail,0.0,retail,93.0,51039.0,0,0.0,0,0,0.0,0.0,15.0,1,8.0,111.0,112.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,2.0,1.0,1,78,81215.0,,88,windows10,x64,17134,768,rs4,1.0,0.0,137.0,unknown,1.0,1.0,notebook,windows.desktop,3799.0,207404.0,2.0,1.0,hdd,0,notebook,17.2,1600.0,mobile,0.0,165,core,ibsclean,14.0,fullauto,0,is_genuine,retail,0.0,retail,556.0,63175.0,1,0.0,0,0,0.0,0.0,10.0,1,4.0,448.0,466.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,1.0,1.0,1,97,150323.0,27.0,124,windows10,x64,14393,768,rs1,1.0,0.0,94.0,requireadmin,1.0,1.0,notebook,windows.desktop,5682.0,338896.0,2.0,5.0,hdd,1,notebook,15.5,1366.0,mobile,0.0,0,core,upgrade,18.0,fullauto,0,is_genuine,retail,0.0,retail,512.0,63122.0,0,0.0,0,0,0.0,0.0,15.0,0,4.0,284.0,298.0
win8defender,1.1.15200.1,4.18.1807.18075,0,0,1.0,1.0,1,164,155006.0,27.0,172,windows10,x64,17134,256,rs4,1.0,0.0,137.0,requireadmin,1.0,1.0,notebook,windows.desktop,2206.0,240688.0,4.0,5.0,hdd,0,notebook,15.6,1920.0,mobile,0.0,254,professional,update,27.0,fullauto,0,is_genuine,retail,0.0,retail,500.0,15510.0,0,0.0,0,0,0.0,0.0,15.0,0,4.0,297.0,298.0
win8defender,1.1.15100.1,4.18.1807.18075,0,0,2.0,1.0,1,93,98572.0,27.0,64,windows10,x64,16299,768,rs3,1.0,0.0,,requireadmin,1.0,1.0,notebook,windows.desktop,585.0,189457.0,4.0,5.0,hdd,1,notebook,15.5,1366.0,mobile,0.0,431,coresinglelanguage,upgrade,8.0,unknown,0,is_genuine,oem:dm,0.0,retail,556.0,63555.0,1,0.0,0,0,0.0,1.0,8.0,1,8.0,198.0,932.0
